user_id,first_session_day,last_session_day,total_sessions,total_user_energy,distinct_stations_used,first_session_date,last_session_date,active_span_days
1000031,6/4/2019,6/4/2019,1,4.959,1,2019-06-04,2019-06-04,0
1000311,5/24/2019,5/24/2019,1,13.43,1,2019-05-24,2019-05-24,0
100061V,11/5/2019,2/27/2020,3,34.569,2,2019-11-05,2020-02-27,114
10013,10/31/2016,9/27/2019,2,9.469000000000001,2,2016-10-31,2019-09-27,1061
100161V,11/14/2019,9/29/2020,4,33.824,4,2019-11-14,2020-09-29,320
1001801,2/13/2020,2/13/2020,1,9.348,1,2020-02-13,2020-02-13,0
1001861,8/2/2018,8/2/2018,1,5.388,1,2018-08-02,2018-08-02,0
1001941,9/30/2017,9/30/2017,1,2.398,1,2017-09-30,2017-09-30,0
1002211,1/5/2020,10/21/2017,2,25.097,2,2020-01-05,2017-10-21,-806
100243,1/10/2017,9/9/2017,250,2381.289586,11,2017-01-10,2017-09-09,242
1002641,10/6/2017,9/9/2017,3,33.709,3,2017-10-06,2017-09-09,-27
100393,3/10/2018,4/25/2018,2,3.1500000000000004,2,2018-03-10,2018-04-25,46
1004021,11/9/2020,8/29/2018,5,17.783,1,2020-11-09,2018-08-29,-803
100523,1/16/2018,8/25/2017,25,200.035,8,2018-01-16,2017-08-25,-144
1005971,12/15/2017,12/15/2017,1,8.022,1,2017-12-15,2017-12-15,0
1006431,1/3/2018,1/3/2018,1,5.03,1,2018-01-03,2018-01-03,0
1006701,10/7/2017,10/7/2017,1,14.444,1,2017-10-07,2017-10-07,0
100673,6/12/2017,6/12/2017,1,22.572,1,2017-06-12,2017-06-12,0
1007091,3/10/2020,3/10/2020,1,9.923,1,2020-03-10,2020-03-10,0
1007181,3/30/2019,6/23/2019,7,18.097,4,2019-03-30,2019-06-23,85
1007341,4/25/2018,4/25/2018,1,15.217,1,2018-04-25,2018-04-25,0
1007531,11/2/2018,6/17/2019,4,40.755,4,2018-11-02,2019-06-17,227
100813,10/5/2018,11/22/2017,2,12.466000000000001,2,2018-10-05,2017-11-22,-317
1008231,7/13/2019,9/18/2018,3,25.794,2,2019-07-13,2018-09-18,-298
1008591,8/10/2019,8/10/2019,1,25.394,1,2019-08-10,2019-08-10,0
1008731,2/25/2019,2/25/2019,1,7.583,1,2019-02-25,2019-02-25,0
1009181,9/23/2019,9/23/2019,1,1.865,1,2019-09-23,2019-09-23,0
1009521,1/5/2020,9/24/2017,7,74.666,6,2020-01-05,2017-09-24,-833
1010901,10/8/2018,10/8/2018,1,6.107,1,2018-10-08,2018-10-08,0
1011251,9/24/2017,9/24/2017,1,6.011,1,2017-09-24,2017-09-24,0
1012301,1/18/2018,9/5/2020,14,47.535,8,2018-01-18,2020-09-05,961
1012481,3/6/2020,7/27/2018,4,40.924,4,2020-03-06,2018-07-27,-588
1013921,10/4/2018,10/4/2018,1,3.698,1,2018-10-04,2018-10-04,0
1013991,7/23/2019,7/23/2019,1,18.883,1,2019-07-23,2019-07-23,0
101473,6/22/2017,6/22/2017,1,3.712,1,2017-06-22,2017-06-22,0
101503,3/11/2019,3/11/2019,1,1.352,1,2019-03-11,2019-03-11,0
1015901,8/8/2018,8/8/2018,1,10.231,1,2018-08-08,2018-08-08,0
101603,7/2/2017,8/21/2016,2,20.618003,2,2017-07-02,2016-08-21,-315
1016401,1/18/2020,1/18/2020,1,12.458,1,2020-01-18,2020-01-18,0
1016421,11/1/2017,11/1/2017,1,5.93,1,2017-11-01,2017-11-01,0
1016681,1/5/2019,1/5/2019,1,11.426,1,2019-01-05,2019-01-05,0
1016931,12/28/2017,9/6/2019,8,77.865,6,2017-12-28,2019-09-06,617
1017331,12/23/2019,6/7/2019,2,21.226,2,2019-12-23,2019-06-07,-199
1018741,1/31/2018,10/2/2017,2,26.672,1,2018-01-31,2017-10-02,-121
1019221,5/20/2018,6/7/2018,3,38.598,3,2018-05-20,2018-06-07,18
1019311,4/1/2019,4/1/2019,1,13.109,1,2019-04-01,2019-04-01,0
1019471,4/18/2018,4/18/2018,1,4.415,1,2018-04-18,2018-04-18,0
101973,12/8/2017,12/8/2017,1,4.124,1,2017-12-08,2017-12-08,0
1019901,5/13/2018,9/23/2017,2,14.14,2,2018-05-13,2017-09-23,-232
1021821,10/14/2017,10/14/2017,1,9.467,1,2017-10-14,2017-10-14,0
1021941,11/8/2018,2/17/2018,2,10.614,2,2018-11-08,2018-02-17,-264
1022181,8/23/2018,8/23/2018,1,7.433,1,2018-08-23,2018-08-23,0
10223,5/7/2017,5/7/2017,1,4.285,1,2017-05-07,2017-05-07,0
1022581,2/1/2020,5/12/2019,3,11.241,3,2020-02-01,2019-05-12,-265
102333,1/10/2017,9/9/2016,166,1395.391601,5,2017-01-10,2016-09-09,-123
1023421,12/5/2018,3/20/2019,2,29.232,2,2018-12-05,2019-03-20,105
1023841,1/7/2020,9/22/2020,4,7.913,2,2020-01-07,2020-09-22,259
1023981,11/17/2017,4/19/2018,2,1.975,2,2017-11-17,2018-04-19,153
1024321,8/7/2018,8/7/2018,1,3.405,1,2018-08-07,2018-08-07,0
1025171,1/11/2018,9/25/2019,36,214.863,11,2018-01-11,2019-09-25,622
1025461,5/13/2018,9/24/2017,3,23.845,2,2018-05-13,2017-09-24,-231
1025481,9/14/2017,9/14/2017,1,6.357,1,2017-09-14,2017-09-14,0
1026531,10/6/2018,12/21/2018,3,23.97,3,2018-10-06,2018-12-21,76
1026621,4/12/2018,8/8/2018,2,29.153,2,2018-04-12,2018-08-08,118
1026701,1/12/2018,9/28/2017,23,271.085,8,2018-01-12,2017-09-28,-106
1027111,10/5/2017,10/5/2017,1,9.92,1,2017-10-05,2017-10-05,0
1027351,5/2/2018,5/2/2018,1,5.591,1,2018-05-02,2018-05-02,0
1028071,1/31/2020,9/28/2020,21,166.677,11,2020-01-31,2020-09-28,241
1029271,1/3/2020,9/7/2018,29,125.068,8,2020-01-03,2018-09-07,-483
